seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	14653	19284993	19270341	*	2.0	2.0	0.36
1	19311790	24601070	5289281	*	2.0	0.0	0.36
1	24964519	61914551	36950033	*	2.0	2.0	0.36
1	61914626	92480922	30566297	*	2.0	0.0	0.36
1	92513797	121118494	28604698	*	2.0	2.0	0.36
1	143184697	150555653	7370957	*	3.0	0.0	0.36
1	150556409	225140738	74584330	*	6.0	0.0	0.36
1	225252286	248650825	23398540	*	4.0	0.0	0.36
2	224919	24918669	24693751	*	1.0	1.0	0.36
2	24971872	55418731	30446860	*	2.0	2.0	0.36
2	55522057	62506118	6984062	*	5.0	2.0	0.36
2	62511796	73601411	11089616	*	4.0	0.0	0.36
2	73602245	91962444	18360200	*	2.0	2.0	0.36
2	94197549	122663994	28466446	*	2.0	2.0	0.36
2	126899645	219640543	92740899	*	2.0	0.0	0.36
2	221426182	241751260	20325079	*	4.0	0.0	0.36
3	349318	8733975	8384658	*	3.0	0.0	0.36
3	8992874	10219611	1226738	*	9.0	0.0	0.36
3	10222796	20178202	9955407	*	4.0	0.0	0.36
3	20615169	89133624	68518456	*	2.0	0.0	0.36
3	91483878	132719875	41235998	*	3.0	2.0	0.36
3	133380401	197889510	64509110	*	3.0	0.0	0.36
4	161621	49711888	49550268	*	3.0	0.0	0.36
4	51848345	190179606	138331262	*	2.0	0.0	0.36
5	163090	13691900	13528811	*	2.0	0.0	0.36
5	13714631	43666908	29952278	*	4.0	0.0	0.36
5	49599511	53083447	3483937	*	3.0	1.0	0.36
5	53560674	146592933	93032260	*	2.0	0.0	0.36
5	147054583	168262291	21207709	*	4.0	0.0	0.36
5	168397835	181283260	12885426	*	2.0	0.0	0.36
6	140219	4133621	3993403	*	4.0	0.0	0.36
6	4715746	37170444	32454699	*	2.0	2.0	0.36
6	38179579	44403953	6224375	*	6.0	2.0	0.36
6	44406319	57937957	13531639	*	2.0	2.0	0.36
6	62177194	144827554	82650361	*	2.0	2.0	0.36
6	145913508	170640200	24726693	*	2.0	0.0	0.36
7	240294	33349217	33108924	*	2.0	0.0	0.36
7	33351482	58100284	24748803	*	2.0	2.0	0.36
7	60957114	83963175	23006062	*	2.0	0.0	0.36
7	86644880	108105808	21460929	*	2.0	2.0	0.36
7	112456018	159034723	46578706	*	2.0	0.0	0.36
8	330241	34874713	34544473	*	2.0	0.0	0.36
8	36833671	43302033	6468363	*	4.0	2.0	0.36
8	46848090	130160899	83312810	*	3.0	3.0	0.36
8	130187170	144947197	14760028	*	5.0	0.0	0.36
9	16912	30689076	30672165	*	4.0	0.0	0.36
9	30689222	43110553	12421332	*	3.0	0.0	0.36
9	62861374	63818465	957092	*	6.0	1.0	0.36
9	63819890	138177100	74357211	*	2.0	0.0	0.36
10	47876	39198605	39150730	*	2.0	0.0	0.36
10	41858396	47503470	5645075	*	3.0	0.0	0.36
10	47523380	133689420	86166041	*	2.0	0.0	0.36
11	198062	4211397	4013336	*	3.0	0.0	0.36
11	4330362	7606121	3275760	*	7.0	0.0	0.36
11	7621067	10801532	3180466	*	3.0	0.0	0.36
11	10806814	17097140	6290327	*	4.0	2.0	0.36
11	17317520	49952427	32634908	*	2.0	0.0	0.36
