seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	13649	264627	250979	*	3	2	0.72
1	264730	16410243	16145514	*	2	2	0.72
1	16478250	16872203	393954	*	3	2	0.72
1	16922005	19284747	2362743	*	2	2	0.72
1	19284993	24601134	5316142	*	2	0	0.72
1	24964519	31728046	6763528	*	2	2	0.72
1	31790485	40161246	8370762	*	2	1	0.72
1	40222460	54731647	14509188	*	2	2	0.72
1	54731849	61352709	6620861	*	2	1	0.72
1	61404111	92297881	30893771	*	2	0	0.72
1	92326255	121538213	29211959	*	2	2	0.72
1	125179330	145947812	20768483	*	2	0	0.72
1	146069376	146898936	829561	*	2	0	0.72
1	146960445	147104551	144107	*	2	0	0.72
1	147104795	147168009	63215	*	2	0	0.72
1	147171916	147203438	31523	*	2	0	0.72
1	147204569	147212605	8037	*	1	0	0.72
1	147213554	150286426	3072873	*	2	0	0.72
1	150308767	152156618	1847852	*	7	0	0.72
1	152213956	152308424	94469	*	5	0	0.72
1	152308531	152798057	489527	*	6	0	0.72
1	152798113	153093786	295674	*	6	0	0.72
1	153149695	156768177	3618483	*	8	0	0.72
1	156782198	186078018	29295821	*	6	0	0.72
1	186081285	201208082	15126798	*	5	0	0.72
1	201209660	201211044	1385	*	2	2	0.72
1	201224540	214465004	13240465	*	5	0	0.72
1	214482911	215086143	603233	*	3	3	0.72
1	215169230	227493011	12323782	*	5	0	0.72
1	227493134	227507742	14609	*	3	2	0.72
1	227921231	247965938	20044708	*	4	0	0.72
1	248084006	248650825	566820	*	1	1	0.72
2	224919	7400564	7175646	*	5	1	0.72
2	8682782	10723141	2040360	*	6	2	0.72
2	10782390	12024120	1241731	*	2	0	0.72
2	12723644	28013557	15289914	*	4	2	0.72
2	28526049	37027872	8501824	*	2	2	0.72
2	37037792	62771350	25733559	*	2	2	0.72
2	63174838	73601411	10426574	*	2	0	0.72
2	73602245	89213290	15611046	*	2	2	0.72
2	89581213	91940980	2359768	*	2	1	0.72
2	94196754	95954090	1757337	*	2	2	0.72
2	96021401	111769289	15747889	*	2	2	0.72
2	111792748	112113067	320320	*	6	2	0.72
2	112138790	121458843	9320054	*	2	2	0.72
