seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	13649	264730	251082	*	2	2	0.73
1	847691	16491182	15643492	*	2	1	0.73
1	16535646	16872203	336558	*	2	1	0.73
1	16922005	16958527	36523	*	1	1	0.73
1	16958629	19284993	2326365	*	2	2	0.73
1	19306263	24927286	5621024	*	2	0	0.73
1	24964519	61352709	36388191	*	2	2	0.73
1	61404111	92326255	30922145	*	2	0	0.73
1	92386947	121538213	29151267	*	2	2	0.73
1	143217319	148091755	4874437	*	2	0	0.73
1	148107041	148593618	486578	*	2	0	0.73
1	148595703	150266299	1670597	*	2	0	0.73
1	150276693	152156618	1879926	*	5	0	0.73
1	152213956	152308424	94469	*	3	0	0.73
1	152308531	152805432	496902	*	5	0	0.73
1	152910476	153225262	314787	*	2	2	0.73
1	153225266	201208082	47982817	*	5	0	0.73
1	201209660	201211044	1385	*	9	8	0.73
1	201224540	214465004	13240465	*	5	0	0.73
1	214482911	215083545	600635	*	4	1	0.73
1	215086143	227493011	12406869	*	4	0	0.73
1	227493134	227507643	14510	*	2	2	0.73
1	227921231	240920002	12998772	*	4	0	0.73
1	241503933	247965938	6462006	*	4	0	0.73
1	248084006	248650825	566820	*	2	2	0.73
2	224919	7024681	6799763	*	4	1	0.73
2	7067929	10723141	3655213	*	4	2	0.73
2	10782390	12024120	1241731	*	2	0	0.73
2	12723644	28013557	15289914	*	4	2	0.73
2	28526049	37149148	8623100	*	3	2	0.73
2	37368553	46958299	9589747	*	2	1	0.73
2	46974849	62771350	15796502	*	2	2	0.73
2	63174838	73601411	10426574	*	2	0	0.73
2	73602245	89767186	16164942	*	2	2	0.73
2	89833320	91940980	2107661	*	2	1	0.73
2	94196754	95954090	1757337	*	2	2	0.73
2	96021401	110184573	14163173	*	2	2	0.73
2	110184919	112098757	1913839	*	4	2	0.73
2	112138790	121458843	9320054	*	2	2	0.73
2	121515611	156569306	35053696	*	2	0	0.73
2	156571186	162352383	5781198	*	4	0	0.73
2	163611904	219641800	56029897	*	2	0	0.73
2	220540376	238353225	17812850	*	3	0	0.73
2	239081075	240466191	1385117	*	3	0	0.73
2	240466447	241767573	1301127	*	2	0	0.73
3	344564	4983086	4638523	*	2	0	0.73
3	7083185	10394281	3311097	*	12	0	0.73
3	10394332	14513100	4118769	*	7	0	0.73
3	14513501	17258641	2745141	*	4	0	0.73
3	17428622	23918549	6489928	*	6	0	0.73
3	23956056	75631171	51675116	*	2	0	0.73
3	75664415	75737898	73484	*	3	1	0.73
3	75737906	89449469	13711564	*	2	0	0.73
3	91483878	114236973	22753096	*	3	2	0.73
3	114307826	121854608	7546783	*	3	1	0.73
3	121894358	132719774	10825417	*	3	3	0.73
3	133380401	187731555	54351155	*	3	0	0.73
3	188179495	198035752	9856258	*	2	0	0.73
4	16758	19889649	19872892	*	3	0	0.73
4	20480838	48892964	28412127	*	2	0	0.73
4	49104455	49709464	605010	*	1	1	0.73
4	51848078	188738454	136890377	*	2	0	0.73
4	188738623	190179609	1440987	*	2	0	0.73
5	163090	10988060	10824971	*	2	0	0.73
5	13691900	44112226	30420327	*	2	1	0.73
5	49601562	49661793	60232	*	1	0	0.73
5	50399214	53083447	2684234	*	2	1	0.73
5	53083580	146592933	93509354	*	2	0	0.73
