seqnames	start	end	width	strand	major_cn	minor_cn	clonal_frequency
1	13649	2145970	2132322	*	2	1	0.8
1	2151019	7830057	5679039	*	2	2	0.8
1	7837073	12725527	4888455	*	3	2	0.8
1	12726103	16868892	4142790	*	2	2	0.8
1	16868896	19284993	2416098	*	2	2	0.8
1	19306263	24601134	5294872	*	2	0	0.8
1	24964519	54733814	29769296	*	2	2	0.8
1	54737462	61352709	6615248	*	2	1	0.8
1	61404111	89117007	27712897	*	2	0	0.8
1	89117861	93115212	3997352	*	3	0	0.8
1	93588825	121538213	27949389	*	2	1	0.8
1	125179174	144904956	19725783	*	3	0	0.8
1	145404993	146757826	1352834	*	3	0	0.8
1	146764762	148091755	1326994	*	3	0	0.8
1	148107041	148593618	486578	*	3	0	0.8
1	148595703	149693547	1097845	*	3	0	0.8
1	149693879	152156618	2462740	*	5	0	0.8
1	152213956	152303673	89718	*	5	0	0.8
1	152303901	152308283	4383	*	2	2	0.8
1	152308312	152309835	1524	*	5	0	0.8
1	152310318	152312121	1804	*	5	1	0.8
1	152312705	152798057	485353	*	6	0	0.8
1	152798113	153093786	295674	*	4	0	0.8
1	153149834	193125245	39975412	*	6	0	0.8
1	193236142	201208082	7971941	*	4	0	0.8
1	201209660	201211044	1385	*	2	2	0.8
1	201224540	207127036	5902497	*	5	0	0.8
1	207496429	207584887	88459	*	6	0	0.8
1	207587428	214464539	6877112	*	7	0	0.8
1	214464829	214483397	18569	*	5	0	0.8
1	215086143	225333399	10247257	*	6	0	0.8
1	225346745	226897761	1551017	*	3	0	0.8
1	227493011	227507643	14633	*	10	9	0.8
1	227921231	229325579	1404349	*	3	0	0.8
1	229327288	240493524	11166237	*	2	0	0.8
1	241503933	247433995	5930063	*	3	0	0.8
1	247434000	247434046	47	*	2	1	0.8
1	247444340	247965938	521599	*	3	0	0.8
1	248084006	248650825	566820	*	1	1	0.8
2	224919	7067929	6843011	*	2	1	0.8
2	7281574	10723141	3441568	*	4	0	0.8
2	10782390	12024120	1241731	*	2	0	0.8
2	12723644	37149148	24425505	*	2	2	0.8
2	37368553	47046593	9678041	*	1	1	0.8
2	47049904	62771350	15721447	*	2	1	0.8
2	63174838	73601411	10426574	*	2	0	0.8
2	73602245	91940980	18338736	*	2	1	0.8
2	94196754	113588990	19392237	*	2	2	0.8
2	113589214	121515611	7926398	*	2	2	0.8
2	121525737	156571186	35045450	*	2	0	0.8
2	157210570	162352383	5141814	*	4	0	0.8
2	163611904	219641800	56029897	*	2	0	0.8
2	220540376	231925781	11385406	*	4	0	0.8
2	232379271	232409459	30189	*	2	2	0.8
2	232418137	238353225	5935089	*	4	0	0.8
2	239081075	241767573	2686499	*	2	0	0.8
3	344564	3034534	2689971	*	1	0	0.8
3	3034575	4983086	1948512	*	1	0	0.8
3	7146319	10926053	3779735	*	5	0	0.8
3	10934059	17233681	6299623	*	2	0	0.8
3	17258641	23918549	6659909	*	5	0	0.8
3	23956056	64445464	40489409	*	3	0	0.8
3	64539495	75630859	11091365	*	3	0	0.8
3	75631151	75737906	106756	*	3	1	0.8
3	76114074	89449469	13335396	*	2	0	0.8
3	91483720	93470778	1987059	*	16	4	0.8
3	93874275	114236418	20362144	*	3	2	0.8
3	114236473	121897420	7660948	*	2	1	0.8
3	121992916	128909880	6916965	*	2	2	0.8
3	129260165	131669798	2409634	*	5	2	0.8
3	132037504	132719774	682271	*	2	2	0.8
3	133380401	143266875	9886475	*	2	0	0.8
3	146070680	187731555	41660876	*	3	0	0.8
3	188179495	195619082	7439588	*	2	0	0.8
3	195619606	195976946	357341	*	2	0	0.8
3	195977149	195996931	19783	*	1	1	0.8
3	195997066	197296574	1299509	*	2	0	0.8
3	197634845	198035752	400908	*	1	1	0.8
4	16758	6323291	6306534	*	2	0	0.8
4	6323359	17842406	11519048	*	4	0	0.8
4	19889649	48892964	29003316	*	2	0	0.8
4	49092755	49711743	618989	*	2	2	0.8
4	51848078	70662088	18814011	*	2	0	0.8
4	71765310	122254745	50489436	*	3	0	0.8
4	122263672	188738454	66474783	*	2	0	0.8
4	188738623	190179609	1440987	*	1	1	0.8
5	163090	10992871	10829782	*	2	0	0.8
5	13691900	44114035	30422136	*	2	1	0.8
